Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
500	0.1372394	0.1500840	0.4625520	0.5425903	0.7181605	0.8190029	0.0495384	0.5183218	1.1370770	0.0297129	0.7290909	0.5826718	0.8850429	0.1631340	0.7624652	0.9929358	0.6410602	0.3297321	0.8948160	1.0311199	0.0135615	0.1014309	0.9631136	0.0666390	1.0166101	0.0099233	0.6343311	0.3904621	1.1000186	0.8549899	0.9842315	0.1624276	1.0282720	0.0855300	1.0783997	0.4675501	0.3742000	0.2130189	0.2731157	1.0895791	0.3786535	0.0114243	0.0803659	0.1961333	0.6995247	0.4210909	0.5753941	1.0066131	0.6220152	0.5803703	0.6066587	0.0094311	0.9637816	1.0806355	0.5974169	0.1380214	0.0541693	0.5806849	0.4815587	0.6755646	0.3597963	0.3461805	0.1043198	0.0062511	0.3307615	0.4700503	0.8847790	0.9394177	0.2938221	0.4897968	0.6307627	0.0019700	0.5476888	0.4546346	0.4171164	0.7686934	0.4933159	0.1668102	0.8314179	0.9839738	0.3837114	0.7194467	0.6073213	0.5036621	0.3852620	0.1066786	0.9393630	0.1303472	0.7871187	0.2999640	0.8462692	0.3867011	0.1724663	0.7144348	0.6492508	0.6040570	0.7730803	0.0045033	0.6551604	1.0142784
550	0.2246789	0.1400513	0.5368826	0.3865586	0.6523018	0.7422992	0.0232026	0.4936331	1.0635925	0.0498103	0.6030811	0.4449688	0.8476887	0.3551786	0.7920267	0.9216906	0.7368516	0.4909110	0.4164403	1.0070120	0.0174663	0.0826692	0.9767550	0.1448229	1.0149155	0.1427661	0.6285280	0.5051241	1.0100916	0.8637009	0.9330026	0.1444906	0.9959234	0.0757738	1.0313171	0.4247059	0.4182825	0.1726705	0.3213140	1.0403182	0.2785368	0.0103320	0.1073056	0.1690578	0.6075728	0.4479277	0.5830448	0.9281250	0.6206608	0.5260840	0.6022334	0.0086722	0.8886081	0.9543053	0.5389435	0.1892600	0.0558670	0.6606104	0.5734142	0.6447373	0.3235083	0.3682911	0.1147297	0.0364172	0.2477256	0.4975979	0.8850459	0.8666880	0.5212489	0.2943155	0.6382067	0.0051820	0.3229578	0.4276844	0.4800851	0.6589858	0.4752012	0.2621081	0.7856958	0.9490815	0.2821875	0.7438760	0.3899004	0.4986603	0.3558413	0.1258909	0.8935973	0.3419248	0.7740212	0.3239455	0.9527176	0.4402948	0.1144787	0.7907286	0.6388745	0.5746389	0.8558158	0.0024098	0.7895427	0.8841435
600	0.3734216	0.1222956	0.5820659	0.4432199	0.6524319	0.5475068	0.0163534	0.4906154	0.9022254	0.0392658	0.4085350	0.3718472	0.6318272	0.4985282	0.8641046	1.1194006	0.7960851	0.5077320	0.1189831	0.9905143	0.0215443	0.1501939	0.8177464	0.2398785	0.9833033	0.3932011	0.6333535	0.5996590	1.0051936	0.8297265	0.7727885	0.1489330	1.0073493	0.0624592	0.9199096	0.4299398	0.4286936	0.1574337	0.2940914	0.9465253	0.1614942	0.0066942	0.2564063	0.1771410	0.6796419	0.4911770	0.5059205	0.8793234	0.6686356	0.4484366	0.5800526	0.0095832	0.9133112	0.9734240	0.6285024	0.2414127	0.0540535	0.7131140	0.6314463	0.7592377	0.3312761	0.3447890	0.0628601	0.0590076	0.2670850	0.5457781	0.9224553	1.0276031	0.7696335	0.1309524	0.5794568	0.0246200	0.2066757	0.2956047	0.4638883	0.5996614	0.4793297	0.3036252	0.7744436	1.0240246	0.2362252	0.6851035	0.2276371	0.4877809	0.4503338	0.2328153	0.7907553	0.6537678	0.7773706	0.2824167	0.8510334	0.3926974	0.0650995	0.9136979	0.7553573	0.6364232	0.7764133	0.0120150	0.7609316	0.7314785
650	0.5470199	0.1027875	0.4772980	0.4592163	0.4789206	0.2734491	0.0213656	0.4525522	1.0194832	0.0440866	0.3293447	0.2796069	0.3673073	0.5078908	0.9829027	1.0114168	0.7842627	0.4635921	0.0825070	0.9506636	0.0320552	0.1010161	0.5363507	0.2806839	0.9878192	0.5557797	0.5952077	0.5105615	1.0152151	0.8352292	0.7011530	0.1508899	1.0498559	0.0253443	0.6475791	0.4272740	0.5692330	0.2594333	0.3159153	1.0304311	0.0926410	0.0156968	0.4629578	0.1378636	0.6128349	0.5131868	0.3960510	0.9418985	0.7356170	0.3306621	0.5510771	0.0099012	0.9704011	0.9940599	0.6274933	0.3184982	0.0578687	0.7386816	0.6806332	0.8221431	0.3607395	0.3790360	0.0233739	0.2437473	0.2578960	0.5624694	0.9506497	1.1030629	0.9126127	0.0343149	0.6449770	0.0533440	0.2202737	0.3955056	0.4393804	0.4843813	0.4911947	0.2674411	0.7279798	1.0004934	0.2198297	0.8222915	0.1041937	0.5718460	0.3979291	0.2469969	0.8244691	0.7626272	0.7148374	0.3320050	0.7489748	0.4036852	0.1334556	1.0381553	0.7297861	0.5741513	0.7379129	0.0000000	0.5756162	0.6176193
700	0.6921844	0.1225487	0.3761587	0.4815389	0.3255064	0.1527960	0.0347259	0.5333773	0.9844499	0.0446270	0.3265430	0.2471302	0.2706526	0.5044499	0.8980349	1.1673379	0.7879812	0.4394957	0.0821841	0.9303918	0.0323704	0.1108710	0.4133658	0.3146468	0.8878543	0.7681741	0.5798330	0.5048872	0.9437924	0.7425475	0.7276974	0.2008958	1.0237713	0.0055631	0.5288931	0.3844827	0.6665804	0.3436502	0.3342564	0.9247144	0.0626429	0.0459761	0.5990124	0.1959815	0.6268819	0.4546581	0.3189160	0.9619700	0.7031330	0.2459632	0.5157780	0.0106772	0.9323091	0.9685521	0.5381277	0.3915056	0.0750093	0.7574626	0.5405947	0.7248294	0.3940715	0.4157837	0.0211571	0.3345863	0.2572289	0.5614078	1.0557892	0.9170063	0.9285037	0.0371355	0.6105148	0.0798899	0.1929331	0.4756154	0.4219464	0.5019405	0.4035351	0.2683230	0.9404498	0.9976987	0.2227785	0.7405743	0.0766497	0.5484877	0.3446156	0.2358308	0.8052884	0.8406732	0.6829980	0.3813352	0.5554430	0.3821407	0.1506455	1.0173530	0.6348141	0.5960689	0.6293237	0.0096811	0.3919546	0.5902038
750	0.6504065	0.1666072	0.2859485	0.5121993	0.3004888	0.0830332	0.0262815	0.4561014	0.9468755	0.0386242	0.2855285	0.2590752	0.2149132	0.4951982	0.8435678	0.9515963	0.8685693	0.4701806	0.0852056	0.8816858	0.0305157	0.1399055	0.2894454	0.4422854	0.9016609	0.7984694	0.5204531	0.5489144	0.9211944	0.7886677	0.6846366	0.2116978	1.0059176	0.0123848	0.4786890	0.2724522	0.8095411	0.3434293	0.2760543	0.9051807	0.0491993	0.1836453	0.7707699	0.1882674	0.6465170	0.4075819	0.2280114	0.9928456	0.7008145	0.1727188	0.4976419	0.0155227	0.8622038	0.9507118	0.5315041	0.3648621	0.0621347	0.7924255	0.4832943	0.5838812	0.4719354	0.4290256	0.0158436	0.5132368	0.2196481	0.4899485	1.0646119	0.8177693	0.9754207	0.0135967	0.5874014	0.1258822	0.2743459	0.4687348	0.4195855	0.4968002	0.5566242	0.2453787	0.9249967	0.9022747	0.1976544	0.8514605	0.1102820	0.5792588	0.3062478	0.2273309	0.8245497	0.8709034	0.7251341	0.3617981	0.5367345	0.3331253	0.1426994	0.9389573	0.6480457	0.5332698	0.5551012	0.0019737	0.2206918	0.5816898
800	0.7396164	0.2713415	0.1959181	0.4501365	0.2687154	0.0773977	0.0223172	0.4770315	0.9476866	0.0585709	0.3635196	0.2663461	0.3021211	0.4433889	0.7558268	0.9449882	0.9255998	0.4726226	0.1261118	0.9066418	0.0511942	0.2014431	0.2368120	0.4464096	0.9508546	0.8966809	0.4448756	0.5395206	1.0276934	0.6558127	0.6374941	0.2083063	0.9003006	0.0255902	0.4016090	0.2442758	0.9573995	0.3953397	0.2206111	0.9296382	0.0600926	0.2802060	0.8413522	0.2643029	0.6651122	0.4361621	0.2287363	0.9961384	0.6310431	0.1360615	0.5060093	0.0122511	0.9833751	0.9515260	0.5828845	0.5454332	0.0642281	0.7827179	0.3888449	0.4809236	0.4228718	0.4350076	0.0067474	0.4328748	0.1980630	0.4748283	0.9924692	0.8368734	0.9350174	0.0451849	0.6000444	0.1642234	0.2767310	0.4104280	0.4312013	0.4917291	0.6026849	0.2276487	0.9719651	0.8124612	0.2275179	0.9166547	0.1506799	0.5540184	0.2786575	0.2413661	0.7391764	0.9105656	0.7059095	0.2762071	0.6009545	0.3319593	0.1036155	0.9972940	0.5530888	0.5660040	0.5250800	0.0017956	0.1255790	0.6889939
850	0.5608027	0.2765836	0.1676087	0.4056917	0.2725702	0.1092390	0.0113859	0.5159378	0.9755048	0.0286049	0.4003734	0.2675773	0.3426358	0.6273378	0.4846689	0.9566428	0.8705808	0.5428465	0.1228805	0.7123067	0.0948993	0.2332445	0.1667140	0.4455149	0.9425541	0.9116938	0.3744600	0.5165489	0.8932968	0.6464547	0.5800910	0.2512688	0.9752261	0.0489959	0.4095283	0.2352767	0.8281479	0.4188548	0.1990870	0.8631286	0.0628296	0.3798187	0.8550083	0.2454767	0.6218764	0.4938124	0.2003071	0.9593321	0.5994323	0.1628625	0.5991653	0.0075430	0.9589556	0.9128426	0.5035798	0.6298571	0.0393879	0.8238218	0.4355900	0.4963612	0.4320286	0.4624174	0.0038409	0.5144436	0.1729248	0.4894353	0.8827737	0.8731114	1.0052817	0.0963468	0.6018120	0.2292468	0.3612233	0.4778538	0.4469924	0.4990413	0.6598500	0.2078183	1.0082159	0.7886148	0.1981934	0.9236328	0.1630203	0.5382410	0.2856702	0.2297596	0.7223387	1.0095311	0.7048274	0.3066592	0.6263135	0.2459318	0.0514605	1.0272646	0.6385681	0.5085036	0.5171458	0.0025845	0.1093657	0.7626032
900	0.4402909	0.2512043	0.1368542	0.4437282	0.2873324	0.0907937	0.0175048	0.5689129	0.9579582	0.0417695	0.3720465	0.2652035	0.2268595	0.8112697	0.2958575	1.0373024	0.7469377	0.4874783	0.1232558	0.7040437	0.1489291	0.2587701	0.1499740	0.4221234	1.0446560	0.9092626	0.4268199	0.5329267	0.8933684	0.6427178	0.6236740	0.2647361	1.1145215	0.0744164	0.3508762	0.1879038	1.0161275	0.4630529	0.1438414	0.8366074	0.0992929	0.4466669	0.8748155	0.2280121	0.6152849	0.4893627	0.1819837	0.9288157	0.6093411	0.1914480	0.5919968	0.0093487	0.8680634	1.0502772	0.4764473	0.7714608	0.0650014	0.9075071	0.4584996	0.5091676	0.4225658	0.4681833	0.0055048	0.3948747	0.1745959	0.5469378	0.9183932	0.8452372	1.0311662	0.1479778	0.6317511	0.2441271	0.3291223	0.5165078	0.4436177	0.4929537	0.8067222	0.1715659	0.9704688	0.9322830	0.2021493	0.9831254	0.2386707	0.5138275	0.2276296	0.2106761	0.6051871	1.0326589	0.7028029	0.3050609	0.6319201	0.2493307	0.0764231	0.9937166	0.6344674	0.5445086	0.5984790	0.0058790	0.1410237	0.7064856
950	0.2459640	0.4070459	0.1237866	0.4541839	0.3197800	0.1045282	0.0304745	0.4962644	0.9926025	0.0277893	0.3860449	0.2901709	0.0888019	0.9249541	0.1641637	0.8513604	0.8035614	0.4854664	0.1675248	0.8176153	0.2853798	0.2745957	0.1206015	0.4330950	1.0563401	0.9053904	0.5559368	0.5720628	0.9213308	0.6627840	0.5991102	0.2587092	0.9413565	0.0591747	0.3664892	0.1915072	0.9119467	0.4483585	0.1387214	0.8032995	0.1136869	0.4440194	0.8681502	0.3157180	0.6492755	0.4444837	0.2655956	0.8840222	0.5810219	0.1563953	0.5691829	0.0205249	0.8212460	0.9618785	0.4729747	0.8147719	0.0567389	0.8941997	0.4087695	0.4688244	0.4203705	0.5115047	0.0100850	0.3709640	0.1775248	0.5193067	1.0007483	0.7424449	0.9709493	0.1548979	0.6301404	0.1876423	0.2985770	0.4479895	0.3533529	0.5285401	0.8669572	0.1628267	0.8967663	0.9282133	0.1731009	0.9132055	0.2829943	0.5245051	0.1835439	0.2122015	0.5998113	0.9876706	0.7349764	0.3008771	0.6506898	0.2396241	0.0800385	1.1088260	0.7110972	0.4703842	0.6845524	0.0012067	0.1591968	0.7448824
1000	0.0908310	0.4172193	0.0912820	0.5245355	0.3169063	0.1269755	0.0394554	0.5111656	0.9472534	0.0294358	0.3431866	0.3813169	0.0434494	0.9495954	0.0895696	0.8465285	0.9108614	0.4072758	0.1847300	0.7098814	0.3333748	0.2479756	0.1378486	0.5111322	1.0916108	0.7376544	0.6269507	0.4942030	0.9280676	0.6836312	0.5082696	0.2631475	0.8441610	0.0711168	0.3786579	0.1858458	0.8386185	0.4794104	0.1380634	0.7998888	0.1607470	0.4484813	0.8276113	0.3017800	0.6676512	0.4410497	0.4394140	0.9144790	0.5357210	0.1645497	0.6010633	0.0096012	0.9052028	0.9439905	0.3857372	0.9105826	0.0645570	0.8829047	0.5027122	0.4616838	0.3514387	0.4878368	0.0070377	0.3848960	0.1547266	0.5433624	1.0384763	0.6745589	0.9515595	0.2837076	0.6608853	0.1731340	0.3707272	0.4667224	0.4048342	0.6063128	0.7886818	0.1245201	0.9223984	0.7679647	0.2381130	0.8255184	0.3167203	0.5150417	0.1504325	0.1974683	0.5561035	0.8839121	0.6405434	0.3563864	0.7330604	0.2732012	0.1381358	1.0573918	0.5794946	0.5279997	0.6639891	0.0013029	0.2374890	0.6677134

0	0.0054912	0.7447631	0.0642527	0.8210472	0.2921471	0.5880082	0.0225722	0.4838091	0.9656195	0.0443711	0.4306447	0.6975475	0.0147112	0.9749427	0.0282003	0.6737723	0.9913921	0.1651804	0.1197632	0.5242371	0.0067494	0.0365355	0.1255950	0.4302496	1.1112670	0.2854071	0.6175497	0.6031904	0.8850846	0.6937330	0.7099076	0.2045984	0.9118438	0.0563209	0.7272756	0.2074722	0.9455934	0.5184240	0.1652896	0.9267332	0.2747902	0.6682682	1.0442520	0.2641483	0.6140724	0.4728385	0.6302928	1.0226727	0.6634131	0.2133879	0.4887097	0.0381828	0.7228903	0.9853291	0.5485595	0.1062818	0.0613356	0.5268821	0.4588654	0.2251687	0.2840861	0.4368842	0.0884648	0.1875157	0.2120565	0.5545848	0.8928975	0.9052471	0.9261154	0.5926021	0.7848168	0.1676130	0.2934991	0.2870831	0.6595986	0.5726836	0.5456937	0.5306169	0.8687033	0.9647560	0.4905623	0.4923850	0.3680029	0.5405728	0.3727826	0.2236655	0.6425572	0.9691270	0.6764887	0.4389795	0.7060530	0.3463237	0.2803171	0.9766520	0.7972715	0.5442647	0.5465106	0.0032703	0.5090797	0.4472386
