Entrez	Official Symbol	Synonyms	Experiment Symbol
10746	MAP3K2	MEKK2|MEKK2B	MEK
5607	MAP2K5	HsT17454|MAPKK5|MEK5|PRKMK5	MEK
7786	MAP3K12	DLK|MEKK12|MUK|ZPK|ZPKP1	MEK
5609	MAP2K7	JNKK2|MAPKK7|MEK|MEK 7|MKK7|PRKMK7|SAPKK-4|SAPKK4	MEK
9175	MAP3K13	LZK|MEKK13|MLK	MEK
9064	MAP3K6	ASK2|MAPKKK6|MEKK6	MEK
55671	SMEK1	FLFL1|KIAA2010|PP4R3A|smk-1|smk1	MEK
5606	MAP2K3	MAPKK3|MEK3|MKK3|PRKMK3|SAPKK-2|SAPKK2	MEK
4216	MAP3K4	MAPKKK4|MEKK 4|MEKK4|MTK1|PRO0412	MEK
53608	Map3k6	Ask2|MAPKKK6|MEKK6	MEK
26406	Map3k3	AW548911|MAPKKK3|Mekk3|mKIAA4031	MEK
26405	Map3k2	9630061B06Rik|AI585793|Mekk2|Mekk2b	MEK
8491	MAP4K3	GLK|MAPKKKK3|MEKKK 3|MEKKK3|RAB8IPL1	MEK
5132	PDC	MEKA|PHD|PhLOP|PhLP	MEK
26408	Map3k5	7420452D20Rik|ASK|ASK1|MAPKKK5|Mekk5	MEK
4293	MAP3K9	MEKK9|MLK1|PRKE1	MEK
26397	Map2k3	AW212142|MEK3|MKK3|Prkmk3|mMKK3b	MEK
26398	Map2k4	JNKK1|MEK4|MKK4|PRKMK4|Sek1|Serk1	MEK
379991	map2k1	mek-2	MEK
2309	FOXO3	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A	FKHR
2308	FOXO1	FKH1|FKHR|FOXO1A	FKHR
56458	Foxo1	AI876417|Afxh|FKHR|Fkhr1|Foxo1a	FKHR
3667	IRS1	HIRS-1	IRS1-Ser
112802	KRT71	HYPT13|K6IRS1|KRT6IRS|KRT6IRS1	IRS1-Ser
53833	IL20RB	DIRS1|FNDC6|IL-20R2	IRS1-Ser
56735	Krt71	AA589543|Ca|Cal4|Cu|Krt2-6g|mK6irs|mK6irs1	IRS1-Ser
25467	Irs1	IRS1IRM	IRS1-Ser
3667	IRS1	HIRS-1	IRS1-Tyr
112802	KRT71	HYPT13|K6IRS1|KRT6IRS|KRT6IRS1	IRS1-Tyr
53833	IL20RB	DIRS1|FNDC6|IL-20R2	IRS1-Tyr
56735	Krt71	AA589543|Ca|Cal4|Cu|Krt2-6g|mK6irs|mK6irs1	IRS1-Tyr
25467	Irs1	IRS1IRM	IRS1-Tyr
9191	DEDD	CASP8IP1|DEDD1|DEFT|FLDED1	Caspase-8
8837	CFLAR	CASH|CASP8AP1|CLARP|Casper|FLAME|FLAME-1|FLAME1|FLIP|I-FLICE|MRIT|c-FLIP|c-FLIPL|c-FLIPR|c-FLIPS	Caspase-8
841	CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Caspase-8
9994	CASP8AP2	CED-4|FLASH|RIP25	Caspase-8
3791	KDR	CD309|FLK1|VEGFR|VEGFR2	EGFR
2321	FLT1	FLT|FLT-1|VEGFR-1|VEGFR1	EGFR
1956	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	EGFR
2885	GRB2	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	EGFR
2324	FLT4	FLT41|LMPH1A|PCL|VEGFR3	EGFR
13649	Egfr	9030024J15Rik|AI552599|Erbb|Errb1|Errp|Wa5|wa-2|wa2	EGFR
16542	Kdr	6130401C07|Flk-1|Flk1|Krd-1|Ly73|VEGFR-2|VEGFR2|sVEGFR-2	EGFR
14257	Flt4	AI323512|Chy|Flt-4|VEGFR-3|VEGFR3	EGFR
64285	RHBDF1	C16orf8|Dist1|EGFR-RS|gene-89|gene-90|hDist1	EGFR
208	AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	Akt
64400	AKTIP	FT1|FTS	Akt
207	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	Akt
55355	HJURP	FAKTS|URLC9|hFLEG1	Akt
10000	AKT3	MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	Akt
11651	Akt1	Akt|PKB|PKB/Akt|PKBalpha|Rac	Akt
84335	AKT1S1	Lobe|PRAS40	Akt
11652	Akt2	2410016A19Rik|AW554154|PKB|PKBbeta	Akt
23797	Akt3	AI851531|D930002M15Rik|Nmf350	Akt
11005	SPINK5	LEKTI|LETKI|NETS|NS|VAKTI	Akt
