Pathways	Genes of pathway	Enzymes of pathway	Ontology - parents of class	Products of pathway
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	"mhpC // ""mhpB"" // ""mhpA"" // ""hcaB"" // ""hcaC"" // ""hcaD"" // ""hcaF"" // ""hcaE"" // ""mhpD"" // ""mhpE"" // ""adhE"" // ""mhpF"""	"2-hydroxy-6-oxononatrienedioate hydrolase // ""2,3-dihydroxyphenylpropionate 1,2-dioxygenase"" // ""3-(3-hydroxyphenyl)propionate 2-hydroxylase"" // ""2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"" // ""3-phenylpropionate dioxygenase system"" // ""2-hydroxypentadienoate hydratase"" // MHPELY-MONOMER // ""aldehyde-alcohol dehydrogenase"" // ""acetaldehyde dehydrogenase 2"""	"Aromatic Compounds Degradation // ""Superpathways"""	
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	"mhpC // ""mhpB"" // ""mhpA"" // ""hcaB"" // ""hcaC"" // ""hcaD"" // ""hcaF"" // ""hcaE"""	"2-hydroxy-6-oxononatrienedioate hydrolase // ""2,3-dihydroxyphenylpropionate 1,2-dioxygenase"" // ""3-(3-hydroxyphenyl)propionate 2-hydroxylase"" // ""2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"" // ""3-phenylpropionate dioxygenase system"""	Phenolic Compounds Degradation	"2-oxopent-4-enoate // ""succinate"""
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	"thiD // ""thiC"""	 // THIC-MONOMER	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	"5'-deoxyadenosine // ""L-methionine"" // ""formate"" // ""carbon monoxide"" // ""H<SUP>+</SUP>"" // ""4-amino-2-methyl-5-(diphosphomethyl)pyrimidine"" // ""ADP"""
4-aminobenzoate biosynthesis	"pabB // ""pabA"" // ""pabC"""	"PabB // ""PabA"" // ""pabC"""	Folate Biosynthesis	"H<SUP>+</SUP> // ""4-aminobenzoate"" // ""pyruvate"" // ""L-glutamate"""
4-aminobutanoate degradation I	"puuE // ""sad"""	"4-aminobutyrate aminotransferase // ""NAD<sup>+</sup>-dependent succinate semialdehyde dehydrogenase"""	4-Aminobutanoate Degradation	"H<SUP>+</SUP> // ""NADH"" // ""succinate"" // ""L-glutamate"""
4-aminobutanoate degradation II	"gabT // ""gabD"""	"4-aminobutyrate aminotransferase // ""succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>)"""	4-Aminobutanoate Degradation	"succinate // ""NADPH"" // ""H<SUP>+</SUP>"" // ""L-glutamate"""
4-hydroxybenzoate biosynthesis II (microbes)	ubiC	CHORPYRLY-MONOMER	4-Hydroxybenzoate Biosynthesis	"4-hydroxybenzoate // ""pyruvate"""
5-(carboxymethoxy)uridine biosynthesis	"cmoB // ""cmoA"""	"tRNA U34 carboxymethyltransferase // ""carboxy-<i>S</i>-adenosyl-L-methionine synthase"""	Nucleic Acid Processing	"2-oxo-3-phenylpropanoate // ""H<sub>2</sub>O"" // ""a 5-(carboxymethoxy)uridine<sup>34</sup> in tRNA"" // ""<i>S</i>-adenosyl-L-homocysteine"" // ""H<SUP>+</SUP>"""
5-aminoimidazole ribonucleotide biosynthesis I	"purF // ""purD"" // ""purN"" // ""purL"" // ""purM"""	"PurF // GLYCRIBONUCSYN-MONOMER // ""phosphoribosylglycinamide formyltransferase 1"" // FGAMSYN-MONOMER // ""PurM"""	5-Aminoimidazole Ribonucleotide Biosynthesis	"H<SUP>+</SUP> // ""ADP"" // ""phosphate"" // ""5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole"" // ""L-glutamate"" // ""a tetrahydrofolate"" // ""diphosphate"""
5-aminoimidazole ribonucleotide biosynthesis II	"purF // ""purD"" // ""purL"" // ""purM"" // ""purT"""	"PurF // GLYCRIBONUCSYN-MONOMER // FGAMSYN-MONOMER // ""PurM"" // ""phosphoribosylglycinamide formyltransferase 2"""	5-Aminoimidazole Ribonucleotide Biosynthesis	"H<SUP>+</SUP> // ""phosphate"" // ""ADP"" // ""5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole"" // ""L-glutamate"" // ""diphosphate"""
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	"folK // ""folB"" // ""nudB"" // ""folE"""	"H2PTERIDINEPYROPHOSPHOKIN-MONOMER // ""dihydroneopterin aldolase"" // DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER // ""dihydroneopterin triphosphate pyrophosphohydrolase"" // ""GTP cyclohydrolase I"""	6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis	"H<SUP>+</SUP> // ""formate"" // ""diphosphate"" // ""phosphate"" // ""glycolaldehyde"" // ""(7,8-dihydropterin-6-yl)methyl diphosphate"" // ""AMP"""
8-amino-7-oxononanoate biosynthesis I	"bioH // ""fabB"" // ""fabI"" // ""fabZ"" // ""fabG"" // ""bioC"" // ""bioF"" // ""acpP"" // ""entB"""	"pimeloyl-[acp] methyl ester esterase // ""KASI"" // ""enoyl-[acyl-carrier-protein] reductase"" // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""malonyl-[acp] methyltransferase"" // ""8-amino-7-oxononanoate synthase monomer"""	"7-Keto,8-aminopelargonate Biosynthesis"	"8-amino-7-oxononanoate // ""CO<SUB>2</SUB>"" // ""a <i>holo</i>-[acyl-carrier protein]"" // ""<i>S</i>-adenosyl-L-homocysteine"" // ""NADP<sup>+</sup>"" // ""NAD<sup>+</sup>"" // ""methanol"""
acetate conversion to acetyl-CoA	acs	acetyl-CoA synthetase (AMP-forming)	Carboxylates Degradation	"acetyl-CoA // ""diphosphate"" // ""AMP"""
acetate formation from acetyl-CoA I	"ackA // ""pta"" // ""eutD"""	"acetate kinase // ""Pta"" // ""phosphate acetyltransferase"""	Acetate Formation	"coenzyme A // ""acetate"" // ""ATP"""
acetoacetate degradation (to acetyl CoA)	"atoB // ""atoA"" // ""atoD"" // ""ydiF"""	"AtoB // ""&beta; complex"" // ""&alpha; complex"" // ""fused predicted acetyl-CoA:acetoacetyl-CoA transferase: &alpha; subunit/&beta; subunit"""	Fatty Acid and Lipids Degradation	acetate
acyl carrier protein metabolism	"acpH // ""acpS"" // ""acpT"" // ""acpP"" // ""entB"""	"EG11095-MONOMER // ""AcpS"" // ""holo-[acyl carrier protein] synthase 2"""	"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis // ""Interconversions"""	"adenosine 3',5'-bisphosphate // ""H<SUP>+</SUP>"" // ""4'-phosphopantetheine"""
adenine and adenosine salvage II	"apt // ""rihC"""	"adenine phosphoribosyltransferase // ""ribonucleoside hydrolase 3"""	Adenine and Adenosine Salvage	"D-ribofuranose // ""diphosphate"" // ""AMP"""
adenine and adenosine salvage III	"xapA // ""deoD"" // ""add"" // ""hpt"" // ""gpt"""	"xanthosine phosphorylase // ""purine nucleoside phosphorylase"" // ""adenosine deaminase"" // ""hypoxanthine phosphoribosyltransferase"" // ""xanthine-guanine phosphoribosyltransferase"""	Adenine and Adenosine Salvage	"diphosphate // ""IMP"" // ""ammonium"""
adenine and adenosine salvage V	"deoD // ""add"" // ""gsk"""	"purine nucleoside phosphorylase // ""adenosine deaminase"" // ""inosine-guanosine kinase"""	Adenine and Adenosine Salvage	"IMP // ""ADP"" // ""ammonium"" // ""phosphate"""
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	"nrdA // ""nrdB"" // ""nrdE"" // ""nrdF"" // ""ndk"" // ""nrdD"" // ""fldA"" // ""nrdH"" // ""trxA"" // ""trxC"""	"ribonucleoside diphosphate reductase 1 // ""ribonucleoside-diphosphate reductase 2"" // ""nucleoside diphosphate kinase"" // ""ribonucleoside-triphosphate reductase"""	Adenosine Deoxyribonucleotides <i>De Novo</i> Biosynthesis	"dATP // ""an oxidized flavodoxin"" // ""H<sub>2</sub>O"" // ""an oxidized NrdH glutaredoxin-like protein"" // ""an oxidized thioredoxin"""
adenosine nucleotides degradation II	"deoD // ""xapA"" // ""add"" // ""xdhA"" // ""xdhB"" // ""xdhC"" // ""aphA"" // ""umpH"" // ""umpG"" // ""ushA"" // ""phoA"""	"purine nucleoside phosphorylase // ""xanthosine phosphorylase"" // ""adenosine deaminase"" // ""xanthine dehydrogenase"" // ""acid phosphatase / phosphotransferase"" // ""UMP phosphatase"" // ""broad specificity 5'(3')-nucleotidase and polyphosphatase"" // USHA-MONOMER // ""alkaline phosphatase"""	Adenosine Nucleotides Degradation	"NADH // ""urate"" // ""ammonium"" // ""&alpha;-D-ribose-1-phosphate"""
adenosine nucleotides degradation III	amn	Amn	Adenosine Nucleotides Degradation	"D-ribofuranose 5-phosphate // ""adenine"""
adenosine ribonucleotides <i>de novo</i> biosynthesis	"purA // ""purB"" // ""adk"" // ""atpB"" // ""atpF"" // ""atpE"" // ""atpD"" // ""atpG"" // ""atpA"" // ""atpH"" // ""atpC"""	"adenylosuccinate synthetase // ""adenylosuccinate lyase"" // ""adenylate kinase"" // ""ATP synthase F<sub>0</sub> complex"" // ""ATP synthase F<sub>1</sub> complex"""	Purine Riboucleotides <i>De Novo</i> Biosynthesis	"H<sub>2</sub>O // ""fumarate"" // ""GDP"""
adenosylcobalamin salvage from cobalamin	btuR	COBALADENOSYLTRANS-MONOMER	Adenosylcobalamin Biosynthesis	"adenosylcobalamin // ""PPP<SUB>i</SUB>"""
adenosylcobalamin salvage from cobinamide I	"cobU // ""cobT"" // ""btuR"" // ""cobC"" // ""cobS"""	"CobU // ""CobT"" // COBALADENOSYLTRANS-MONOMER // ""predicted adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase"" // COBS-MONOMER"	Adenosylcobalamin Salvage from Cobinamide	"GMP // ""adenosylcobalamin"" // ""phosphate"" // ""PPP<SUB>i</SUB>"" // ""nicotinate"" // ""ADP"" // ""diphosphate"""
ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	"rfaE // ""gmhB"" // ""rfaD"" // ""lpcA"""	"fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase // ""D,D-heptose 1,7-bisphosphate phosphatase"" // ""ADP-L-glycero-D-mannoheptose-6-epimerase"" // ""D-sedoheptulose 7-phosphate isomerase"""	ADP-sugar Biosynthesis	"ADP-L-glycero-&beta;-D-<I>manno</I>-heptose // ""phosphate"" // ""diphosphate"" // ""ADP"""
Aerotactic Two-Component Signal Transduction System	"cheY // ""cheA"""		Signal transduction pathways	"ADP // ""CheY-P<SUP>asp</SUP>"""
allantoin degradation IV (anaerobic)	"allB // ""allC"" // ""allE"" // ""ybcF"" // ""allD"""	"allantoinase monomer // ""allantoate amidohydrolase"" // ""<i>S</i>-ureidoglycine aminohydrolase"" // ""predicted carbamate kinase"" // ""ureidoglycolate dehydrogenase"""	"Allantoin Degradation // ""Superpathways"""	"NADH // ""ammonium"" // ""CO<SUB>2</SUB>"" // ""ATP"" // ""oxamate"" // ""NAD(P)H"""
allantoin degradation to glyoxylate III	"allA // ""allB"" // ""allC"" // ""allE"""	"ureidoglycolate lyase // ""allantoinase monomer"" // ""allantoate amidohydrolase"" // ""<i>S</i>-ureidoglycine aminohydrolase"""	"Allantoin Degradation // ""Superpathways"""	"urea // ""glyoxylate"""
allantoin degradation to ureidoglycolate II (ammonia producing)	"allB // ""allC"" // ""allE"""	"allantoinase monomer // ""allantoate amidohydrolase"" // ""<i>S</i>-ureidoglycine aminohydrolase"""	Allantoin Degradation	"<i>S</i>-ureidoglycolate // ""ammonium"" // ""CO<SUB>2</SUB>"""
aminopropylcadaverine biosynthesis	"speE // ""cadA"" // ""ldcC"""	"spermidine synthase // ""lysine decarboxylase 1"" // ""lysine decarboxylase 2"""	Amines and Polyamines Biosynthesis	"CO<SUB>2</SUB> // ""aminopropylcadaverine"" // ""<i>S</i>-methyl-5'-thioadenosine"""
ammonia assimilation cycle III	"glnA // ""gltB"" // ""gltD"""	"glutamine synthetase // ""glutamate synthase"""	"Ammonia Assimilation // ""Superpathways"""	
anhydromuropeptides recycling	"murQ // ""anmK"" // ""nagZ"" // ""ampD"" // ""amiD"" // ""nagA"" // ""glmM"" // ""glmU"" // ""ldcA"" // ""mepS"" // ""mpl"""	"<i>N</i>-acetylmuramic acid 6-phosphate etherase // ""anhydro-<i>N</i>-acetylmuramic acid kinase"" // ""&beta;-N-acetylhexosaminidase"" // ""<i>N</i>-acetyl-anhydromuramyl-L-alanine amidase"" // ""anhydro-N-acetylmuramoyl-L-alanine amidase"" // ""<i>N</i>-acetylglucosamine-6-phosphate deacetylase"" // ""phosphoglucosamine mutase"" // ""fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase"" // ""L,D-carboxypeptidase A"" // G7147-MONOMER // EG12440-MONOMER"	Sugar Derivatives Degradation	"UDP-<I>N</I>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimelate // ""ADP"" // ""phosphate"" // ""D-alanine"" // ""UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine"" // ""diphosphate"" // ""coenzyme A"" // ""acetate"" // ""<i>N</i>-acetyl-&beta;-D-glucosamine"" // ""(<i>R</i>)-lactate"""
"ArcAB Two-Component Signal Transduction System, quinone dependent"	"arcA // ""arcB"""		Signal transduction pathways	"ArcA-Phosphorylated DNA-binding transcriptional dual regulator // ""ADP"""
arginine dependent acid resistance	adiA	Adi	Acid Resistance	"CO<SUB>2</SUB> // ""agmatine"""
arsenate detoxification II (glutaredoxin)	"arsC // ""nrdH"" // ""grxA"" // ""grxC"" // ""grxB"""	EG12237-MONOMER	Arsenate Detoxification	"arsenite // ""an oxidized glutaredoxin"" // ""H<sub>2</sub>O"""
aspartate superpathway	"thrB // ""thrC"" // ""aspC"" // ""dapF"" // ""lysA"" // ""dapE"" // ""argD"" // ""serC"" // ""dapD"" // ""dapA"" // ""asd"" // ""thrA"" // ""metL"" // ""lysC"" // ""dapB"" // ""metA"" // ""metE"" // ""metH"" // ""metB"" // ""malY"" // ""metC"" // ""nadD"" // ""nadE"" // ""nadC"" // ""nadA"" // ""nadB"" // ""metK"""	"homoserine kinase // THRESYN-MONOMER // ""aspartate aminotransferase, PLP-dependent"" // ""diaminopimelate epimerase"" // ""diaminopimelate decarboxylase"" // ""<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit"" // ""<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase"" //  // ""tetrahydrodipicolinate succinylase"" // ""4-hydroxy-tetrahydrodipicolinate synthase"" // ""Asd"" // ""ThrA"" // ""MetL"" // ""aspartate kinase III"" // ""4-hydroxy-tetrahydrodipicolinate reductase"" // ""homoserine <i>O</i>-succinyltransferase"" // HOMOCYSMET-MONOMER // ""cobalamin-dependent methionine synthase"" // ""MetB"" // ""bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon"" // ""MetC"" // NICONUCADENYLYLTRAN-MONOMER // ""NAD synthetase, NH<sub>3</sub>-dependent"" // ""quinolinate phosphoribosyltransferase"" //  // ""L-aspartate oxidase"" // ""methionine adenosyltransferase"""	Superpathways	
AtoSC Two-Component Signal Transduction System	"atoS // ""atoC"""		Signal transduction pathways	"ADP // ""AtoC-phosphorylated DNA-binding transcriptional activator"""
autoinducer AI-2 biosynthesis I	"mtn // ""luxS"""	"5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase // ""<i>S</i>-ribosylhomocysteine lyase"""	Autoinducer Biosynthesis	"L-homocysteine // ""adenine"" // ""a methylated methyl donor"" // ""H<SUP>+</SUP>"" // ""(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"""
autoinducer AI-2 degradation	"lsrF // ""lsrK"" // ""lsrG"""	"3-hydroxy-2,4-pentadione 5-phosphate thiolase // ""autoinducer-2 kinase"" // ""phospho-AI-2 isomerase"""	Degradation/Utilization/Assimilation - Other	"H<SUP>+</SUP> // ""ADP"" // ""glycerone phosphate"" // ""acetyl-CoA"""
BaeSR Two-Component Signal Transduction System	"baeR // ""baeS"""		Signal transduction pathways	"ADP // ""BaeR-Phosphorylated DNA-binding transcriptional activator"""
BarA UvrY Two-Component Signal Transduction System	"uvrY // ""barA"""		Signal transduction pathways	"ADP // ""UvrY- Phosphorylated transcriptional regulator"""
BasSR Two-Component Signal Transduction System	"basS // ""basR"""		Signal transduction pathways	"ADP // ""BasR-Phosphorylated transcriptional regulator"""
&beta;-alanine biosynthesis III	panD	aspartate 1-decarboxylase	&beta; Alanine Biosynthesis	"&beta;-alanine // ""CO<SUB>2</SUB>"""
&beta;-D-glucuronide and D-glucuronate degradation	"uxaC // ""uidA"""	"UXAC-MONOMER // ""&beta;-D-glucuronidase"""	D-Glucuronate Degradation	"an alcohol // ""D-fructuronate"""
biotin biosynthesis from 8-amino-7-oxononanoate I	"bioD // ""bioB"" // ""bioA"" // ""fdx"""	"dethiobiotin synthetase monomer // ""biotin synthase"" // ""adenosylmethionine-8-amino-7-oxononanoate aminotransferase monomer"""	Biotin Biosynthesis	"S-adenosyl-4-methylthio-2-oxobutanoate // ""an unsulfurated [sulfur carrier]"" // ""biotin"" // ""5'-deoxyadenosine"" // ""L-methionine"" // ""an oxidized [2Fe-2S] ferredoxin"" // ""H<SUP>+</SUP>"" // ""phosphate"" // ""ADP"""
biotin biosynthesis I	"bioH // ""fabB"" // ""fabI"" // ""fabZ"" // ""fabG"" // ""bioC"" // ""bioF"" // ""bioD"" // ""bioB"" // ""bioA"" // ""fdx"" // ""acpP"" // ""entB"""	"pimeloyl-[acp] methyl ester esterase // ""KASI"" // ""enoyl-[acyl-carrier-protein] reductase"" // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""malonyl-[acp] methyltransferase"" // ""8-amino-7-oxononanoate synthase monomer"" // ""dethiobiotin synthetase monomer"" // ""biotin synthase"" // ""adenosylmethionine-8-amino-7-oxononanoate aminotransferase monomer"""	"Biotin Biosynthesis // ""Superpathways"""	
biotin-carboxyl carrier protein assembly	"birA // ""accC"" // ""accA"" // ""accD"" // ""accB"""	"bifunctional biotin-[acetyl-CoA-carboxylase] ligase and transcriptional repressor // ""AccC"" // ""acetyl-CoA carboxyltransferase, &alpha; subunit"" // ""acetyl-CoA carboxyltransferase, &beta; subunit"""	Fatty Acid and Lipid Biosynthesis	"malonyl-CoA // ""ADP"" // ""phosphate"" // ""H<SUP>+</SUP>"" // ""diphosphate"" // ""AMP"""
cardiolipin biosynthesis I	"pgpA // ""pgpB"" // ""pgpC"" // ""clsA"" // ""clsB"" // ""pgsA"""	"phosphatidylglycerophosphatase A // PGPPHOSPHAB-MONOMER // ""phosphatidylglycerophosphatase C"" // ""cardiolipin synthase 1"" // ""cardiolipin synthase 2"" // PHOSPHAGLYPSYN-MONOMER"	Cardiolipin Biosynthesis	"CMP // ""H<SUP>+</SUP>"" // ""a cardiolipin"" // ""glycerol"" // ""phosphate"""
cardiolipin biosynthesis III	"pgsA // ""pgpA"" // ""pgpB"" // ""pgpC"" // ""clsC"""	"PHOSPHAGLYPSYN-MONOMER // ""phosphatidylglycerophosphatase A"" // PGPPHOSPHAB-MONOMER // ""phosphatidylglycerophosphatase C"" // ""cardiolipin synthase 3"""	Cardiolipin Biosynthesis	"a cardiolipin // ""ethanolamine"" // ""phosphate"" // ""CMP"" // ""H<SUP>+</SUP>"""
CDP-diacylglycerol biosynthesis I	"cdsA // ""plsC"" // ""plsB"" // ""gpsA"""	"CDP-diglyceride synthetase // ""1-acylglycerol-3-phosphate <i>O</i>-acyltransferase"" // ""glycerol-3-phosphate acyltransferase"" // ""glycerol-3-phosphate dehydrogenase, biosynthetic"""	CDP-diacylglycerol Biosynthesis	"NAD(P)<sup>+</sup> // ""coenzyme A"" // ""diphosphate"" // ""a CDP-diacylglycerol"""
CDP-diacylglycerol biosynthesis II	"gpsA // ""plsC"" // ""cdsA"" // ""plsB"" // ""acpP"" // ""entB"""	"glycerol-3-phosphate dehydrogenase, biosynthetic // ""1-acylglycerol-3-phosphate <i>O</i>-acyltransferase"" // ""CDP-diglyceride synthetase"" // ""glycerol-3-phosphate acyltransferase"""	CDP-diacylglycerol Biosynthesis	"a <i>holo</i>-[acyl-carrier protein] // ""diphosphate"" // ""a CDP-diacylglycerol"" // ""NAD(P)<sup>+</sup>"""
Chemotactic Two-Component Signal Transduction	"cheB // ""cheY"" // ""cheA"""		Signal transduction pathways	"ADP // ""CheB-P<SUP>asp</SUP>"" // ""CheY-P<SUP>asp</SUP>"""
chitobiose degradation	"chbG // ""chbF"""	"chito-oligosaccharide mono-deacetylase // ""monoacetylchitobiose-6-phosphate hydrolase"""	Sugars Degradation	"<i>N</i>-acetyl-D-glucosamine 6-phosphate // ""D-glucosamine"" // ""acetate"""
chorismate biosynthesis from 3-dehydroquinate	"aroC // ""aroA"" // ""aroL"" // ""aroK"" // ""aroE"" // ""aroD"" // ""ydiB"""	"AroC // AROA-MONOMER // ""shikimate kinase II"" // ""shikimate kinase I"" // AROE-MONOMER // ""AroD"" // "	Chorismate Biosynthesis	"NAD(P)H // ""H<sub>2</sub>O"" // ""NADP<sup>+</sup>"" // ""ADP"" // ""phosphate"" // ""chorismate"""
chorismate biosynthesis I	"aroB // ""aroG"" // ""aroH"" // ""aroF"" // ""aroC"" // ""aroA"" // ""aroL"" // ""aroK"" // ""aroE"" // ""aroD"" // ""ydiB"""	"AROB-MONOMER // ""AroG"" // ""AroH"" // ""AroF"" // ""AroC"" // AROA-MONOMER // ""shikimate kinase II"" // ""shikimate kinase I"" // AROE-MONOMER // ""AroD"" // "	"Chorismate Biosynthesis // ""Superpathways"""	
cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	"hcaC // ""hcaD"" // ""hcaF"" // ""hcaE"" // ""mhpB"" // ""mhpC"" // ""hcaB"" // ""mhpA"""	"3-phenylpropionate dioxygenase system // ""2,3-dihydroxyphenylpropionate 1,2-dioxygenase"" // ""2-hydroxy-6-oxononatrienedioate hydrolase"" // ""2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"" // ""3-(3-hydroxyphenyl)propionate 2-hydroxylase"""	Phenolic Compounds Degradation	"2-oxopent-4-enoate // ""fumarate"""
<i>cis</i>-vaccenate biosynthesis	"tesA // ""fabF"" // ""fabG"" // ""fabZ"" // ""fabI"" // ""acpP"" // ""entB"""	"multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1 // ""KASII"" // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""enoyl-[acyl-carrier-protein] reductase"""	Unsaturated Fatty Acid Biosynthesis	"NAD<sup>+</sup> // ""NADP<sup>+</sup>"" // ""CO<SUB>2</SUB>"" // ""a <i>holo</i>-[acyl-carrier protein]"" // ""<i>cis</i>-vaccenate"""
citrate degradation	"citD // ""citF"" // ""citE"""	citrate lyase	Carboxylates Degradation	"oxaloacetate // ""acetate"""
citrate lyase activation	"citX // ""citG"" // ""citC"" // ""citD"" // ""citF"" // ""citE"""	G6340-MONOMER // G6339-MONOMER // CITC-MONOMER	"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis"	"diphosphate // ""AMP"" // ""4'-phosphopantetheine"" // ""adenine"""
