"Time"	YDR216W	YKL015W	YGL181W	YGL254W	YMR019W	YJR147W	YOL089C	YCR096C	YCR097W	YCL066W	YLR366W	YER171W	YHL032C	YDR223W	YMR017W	YDL159WA	YPL092W	YOL154W	YBR226C	YAR050W	YJL193W	YCL039W	YHL035C	YDR084C	YDL117W	YDL050C	YNL268W	YKL178C	YKL005C	YDR292C	YNL014W	YFR007W	STA3	YKL197C	YOR056C	YFR042W	YJL195C	YLR126C	YKL176C	YBR292C	YLL056C	YBR227C	YMR118C	STA1	YAL067C	YKL175W	YOR263C	YDL119C	YDR057W	YCR039C	YJR140C	YPL215W	YCR108C	YMR303C	YJR141W	YDL073W	YOR057W	YLR212C	YNL050C	YOL086C	YHR155W	YNL270C	YPL243W	YBL064C	YGR257C	YBR228W	YDL206W	YFR041C	YDR071C	YHR028C	YDR099W	YDR210WD	YJR013W	YEL020C	YPR118W	YNL114C	YLR311C	YGR107W	YAL022C	YOL155C	YDR282C	YDL024C	YLL059C	YMR238W	YMR041C	STA2	YBL063W	YAL065C	YLR312WA	YPL147W	YLL055W	YLR365W	YBR257W	YBR256C	YKL219W	YLR143W	YOR368W	YGR027WA	YOL164WA	YLR410WB
2	1.0000000	0.3696675	0.2923901	0.4645185	0.9707218	1.0000000	1.0000000	0.7329705	0.2557068	0.6273535	0.9982339	0.5837285	0.1176264	0.0766540	0.3521459	0.1491681	0.8187065	0.5525134	0.2362966	0.4924594	0.9720213	0.8633153	0.9276863	0.8191775	0.9609937	0.8315614	0.9915386	0.8009379	0.6986138	0.9952165	0.3932012	0.5388833	0.3491448	0.3799651	0.9710978	0.8505140	0.6101626	0.1654867	0.7827442	0.0305590	0.1161596	0.0443860	0.1944546	0.9003462	0.8948943	0.0885405	0.8007919	0.0401288	0.0546629	0.2382359	0.5213358	0.9895854	0.9242070	0.7381625	0.0751451	0.5892529	0.0551741	0.5901323	0.9968102	0.9625627	0.1586912	0.4540112	0.9600033	0.0578108	0.9716465	0.0974978	0.4061284	0.3251463	0.2177309	0.5173815	0.0441071	0.1149809	0.2501541	0.9090608	0.0131408	0.2587300	0.6863934	0.5788480	0.6331352	0.9955755	0.3967039	0.1054346	0.9923818	0.4083295	0.0900272	0.8329385	0.0137787	0.4869150	0.9307002	0.7735889	0.0285602	0.9997282	0.3256964	0.3956456	0.1405006	0.8511056	0.3259452	0.8094543	0.6371181	0.8436514
3	1.0000000	0.3641367	0.2937445	0.4644982	0.9707214	1.0000000	1.0000000	0.7332532	0.2557068	0.6336073	0.9982474	0.5928334	0.1176264	0.0766611	0.3521485	0.1491681	0.8186891	0.5505348	0.2333063	0.4982073	0.9721258	0.8632563	0.9276932	0.8191775	0.9609941	0.8315785	0.9917021	0.8009566	0.7015323	0.9952165	0.3932010	0.5388835	0.3491645	0.3799643	0.9711286	0.8505147	0.6101652	0.1654771	0.7827377	0.0300658	0.1161595	0.0443860	0.1944546	0.9003447	0.8776924	0.0951253	0.8043117	0.0401286	0.0546629	0.2428949	0.5213357	0.9896288	0.9242071	0.7381625	0.0751448	0.5892530	0.0541995	0.5901617	0.9969219	0.9628111	0.1586910	0.4540326	0.9600085	0.0556842	0.9716746	0.0974978	0.4059593	0.3251458	0.2166965	0.5173815	0.0441071	0.1149809	0.2501541	0.9090620	0.0131407	0.2587102	0.6864224	0.5644717	0.6331244	0.9955746	0.3966948	0.1054309	0.9923818	0.4062384	0.0900203	0.8329098	0.0134694	0.4843695	0.9306952	0.7747744	0.0285602	0.9997416	0.3256964	0.3956453	0.1417254	0.8511158	0.3259452	0.8012000	0.6371181	0.8436769
4	1.0000000	0.3645636	0.2935798	0.4644635	0.9707206	1.0000000	1.0000000	0.7332326	0.2557068	0.6332676	0.9982465	0.5918962	0.1176264	0.0766674	0.3521532	0.1491681	0.8186720	0.5506870	0.2334576	0.4978603	0.9721242	0.8631981	0.9277042	0.8191774	0.9609944	0.8316007	0.9916902	0.8009704	0.7013157	0.9952165	0.3932009	0.5388838	0.3491789	0.3799636	0.9711245	0.8505154	0.6101677	0.1654601	0.7827263	0.0301010	0.1161594	0.0443860	0.1944546	0.9003438	0.8794741	0.0947517	0.8040751	0.0401285	0.0546629	0.2423502	0.5213355	0.9896251	0.9242073	0.7381625	0.0751446	0.5892531	0.0542523	0.5902002	0.9969081	0.9627943	0.1586909	0.4540704	0.9600136	0.0559281	0.9716670	0.0974978	0.4057927	0.3251452	0.2167454	0.5173815	0.0441071	0.1149809	0.2501541	0.9090632	0.0131406	0.2586748	0.6864746	0.5657892	0.6331137	0.9955730	0.3966892	0.1054251	0.9923819	0.4064374	0.0900081	0.8328883	0.0134973	0.4845397	0.9306864	0.7746826	0.0285602	0.9997391	0.3256964	0.3956450	0.1416365	0.8511318	0.3259452	0.8019348	0.6371181	0.8437220
5	1.0000000	0.3649798	0.2934130	0.4644149	0.9707194	1.0000000	1.0000000	0.7332125	0.2557068	0.6329336	0.9982456	0.5909901	0.1176264	0.0766726	0.3521600	0.1491681	0.8186552	0.5508434	0.2336064	0.4975223	0.9721227	0.8631405	0.9277193	0.8191774	0.9609947	0.8316278	0.9916779	0.8009795	0.7011061	0.9952165	0.3932007	0.5388840	0.3491882	0.3799629	0.9711206	0.8505160	0.6101702	0.1654357	0.7827100	0.0301353	0.1161593	0.0443860	0.1944546	0.9003436	0.8811941	0.0943822	0.8038438	0.0401283	0.0546629	0.2418270	0.5213354	0.9896215	0.9242074	0.7381625	0.0751444	0.5892532	0.0543041	0.5902477	0.9968948	0.9627779	0.1586907	0.4541245	0.9600186	0.0561630	0.9716572	0.0974977	0.4056284	0.3251446	0.2167935	0.5173814	0.0441071	0.1149808	0.2501540	0.9090644	0.0131404	0.2586243	0.6865485	0.5670773	0.6331032	0.9955706	0.3966871	0.1054173	0.9923819	0.4066321	0.0899907	0.8328739	0.0135263	0.4847053	0.9306738	0.7745931	0.0285602	0.9997368	0.3256964	0.3956447	0.1415502	0.8511533	0.3259452	0.8026475	0.6371181	0.8437864

0	1.0000000	0.3811597	0.2895186	0.4645330	0.9707221	1.0000000	1.0000000	0.7323843	0.2557068	0.6145198	0.9982059	0.5645709	0.1176264	0.0766376	0.3521445	0.1491681	0.8187420	0.5566161	0.2424309	0.4806108	0.9718068	0.8634355	0.9276802	0.8191776	0.9609931	0.8315361	0.9912011	0.8008911	0.6925838	0.9952165	0.3932015	0.5388828	0.3490953	0.3799666	0.9710319	0.8505126	0.6101572	0.1654919	0.7827478	0.0315810	0.1161598	0.0443860	0.1944546	0.9003505	0.9310916	0.0750019	0.7935142	0.0401291	0.0546629	0.2283654	0.5213361	0.9894948	0.9242067	0.7381625	0.0751455	0.5892526	0.0571774	0.5900898	0.9965726	0.9620487	0.1586915	0.4539991	0.9599926	0.0623107	0.9715848	0.0974978	0.4064741	0.3251476	0.2198507	0.5173816	0.0441071	0.1149810	0.2501542	0.9090582	0.0131411	0.2587404	0.6863798	0.6089129	0.6331575	0.9955759	0.3967289	0.1054384	0.9923818	0.4126616	0.0900310	0.8330098	0.0144217	0.4921613	0.9307032	0.7711253	0.0285602	0.9996988	0.3256964	0.3956462	0.1379662	0.8510954	0.3259452	0.8266980	0.6371181	0.8436371
1	1.0000000	0.3811597	0.2895180	0.4645294	0.9707221	1.0000000	1.0000000	0.7323843	0.2535347	0.6145040	0.9982060	0.5645709	0.1148985	0.0760794	0.3407276	0.1491681	0.8187241	0.5566191	0.2402193	0.4807144	0.9718108	0.8633750	0.9276822	0.8191775	0.9609934	0.8315475	0.9912010	0.8009162	0.6925559	0.9953241	0.3932014	0.5388831	0.3420907	0.3799658	0.9710839	0.8509705	0.6101599	0.1654912	0.7856451	0.0312350	0.1156641	0.0426428	0.1917330	0.8854149	0.9311027	0.0900905	0.7935143	0.0401289	0.0546629	0.2343282	0.5152100	0.9894949	0.9242068	0.7381625	0.0751453	0.5892527	0.0571765	0.5901089	0.9967042	0.9628821	0.1586914	0.4540009	0.9599980	0.0623107	0.9719447	0.0966543	0.4063000	0.3251469	0.2173653	0.5148879	0.0441071	0.1149809	0.2450086	0.9104757	0.0131410	0.2587392	0.6863803	0.5970143	0.6211841	0.9955759	0.3967154	0.1054370	0.9923818	0.4127116	0.0900304	0.8329723	0.0140939	0.4921782	0.9307027	0.7696942	0.0285602	0.9996988	0.3256964	0.3919851	0.1379613	0.8510990	0.3259452	0.8267053	0.6580854	0.8436392
2	1.0000000	0.3811597	0.2895174	0.4645258	0.9707220	1.0000000	1.0000000	0.7323843	0.2514364	0.6144872	0.9982060	0.5645709	0.1122522	0.0755336	0.3297023	0.1491681	0.8187065	0.5566220	0.2380446	0.4808159	0.9718147	0.8633153	0.9276842	0.8191775	0.9609937	0.8315588	0.9912009	0.8009428	0.6925283	0.9954284	0.3932012	0.5388833	0.3352514	0.3799651	0.9711337	0.8514183	0.6101626	0.1654906	0.7884510	0.0308971	0.1151814	0.0409693	0.1890888	0.8708071	0.9311137	0.1049061	0.7935143	0.0401288	0.0546629	0.2400665	0.5092070	0.9894949	0.9242070	0.7381625	0.0751451	0.5892529	0.0571757	0.5901276	0.9968306	0.9636970	0.1586912	0.4540027	0.9600033	0.0623107	0.9722982	0.0958335	0.4061284	0.3251463	0.2149199	0.5124517	0.0441071	0.1149809	0.2399877	0.9118661	0.0131408	0.2587380	0.6863808	0.5854630	0.6095868	0.9955758	0.3967022	0.1054356	0.9923818	0.4127608	0.0900299	0.8329357	0.0137743	0.4921948	0.9307022	0.7682990	0.0285602	0.9996988	0.3256964	0.3883938	0.1379565	0.8511026	0.3259452	0.8267124	0.6766119	0.8436412
3	1.0000000	0.3811597	0.2895168	0.4645224	0.9707220	1.0000000	1.0000000	0.7323844	0.2494093	0.6144679	0.9982061	0.5645709	0.1096851	0.0750000	0.3190551	0.1491681	0.8186891	0.5566249	0.2359064	0.4809154	0.9718186	0.8632563	0.9276861	0.8191775	0.9609941	0.8315698	0.9912008	0.8009727	0.6925012	0.9955297	0.3932010	0.5388835	0.3285737	0.3799643	0.9711814	0.8518564	0.6101652	0.1654900	0.7911685	0.0305671	0.1147115	0.0393625	0.1865198	0.8565200	0.9311244	0.1194538	0.7935144	0.0401286	0.0546629	0.2455886	0.5033247	0.9894949	0.9242071	0.7381625	0.0751448	0.5892530	0.0571749	0.5901461	0.9969519	0.9644938	0.1586910	0.4540044	0.9600085	0.0623107	0.9726453	0.0950347	0.4059593	0.3251458	0.2125138	0.5100718	0.0441071	0.1149809	0.2350887	0.9132300	0.0131407	0.2587369	0.6863813	0.5742489	0.5983539	0.9955758	0.3966891	0.1054343	0.9923818	0.4128092	0.0900294	0.8329004	0.0134627	0.4922112	0.9307017	0.7669390	0.0285602	0.9996988	0.3256964	0.3848712	0.1379518	0.8511062	0.3259452	0.8267194	0.6929817	0.8436432
4	1.0000000	0.3811597	0.2895162	0.4645189	0.9707219	1.0000000	1.0000000	0.7323844	0.2496230	0.6144454	0.9982062	0.5645709	0.1099228	0.0750452	0.3201902	0.1491681	0.8186720	0.5566277	0.2360142	0.4809104	0.9718223	0.8631981	0.9276880	0.8191774	0.9609944	0.8315807	0.9912008	0.8010072	0.6924745	0.9955203	0.3932009	0.5388838	0.3290859	0.3799636	0.9711751	0.8518278	0.6101677	0.1654894	0.7909024	0.0305905	0.1147495	0.0395631	0.1867454	0.8574813	0.9311349	0.1186460	0.7935145	0.0401285	0.0546629	0.2449406	0.5036867	0.9894950	0.9242073	0.7381625	0.0751446	0.5892531	0.0571741	0.5901643	0.9969369	0.9644396	0.1586909	0.4540061	0.9600136	0.0623107	0.9726253	0.0951009	0.4057928	0.3251452	0.2126300	0.5102404	0.0441071	0.1149809	0.2354540	0.9131517	0.0131406	0.2587358	0.6863818	0.5752620	0.5994358	0.9955758	0.3966763	0.1054330	0.9923819	0.4128568	0.0900289	0.8328669	0.0134870	0.4922274	0.9307013	0.7670443	0.0285602	0.9996988	0.3256964	0.3850766	0.1379471	0.8511097	0.3259452	0.8267263	0.6864784	0.8436451
5	1.0000000	0.3811597	0.2895156	0.4645156	0.9707219	1.0000000	1.0000000	0.7323844	0.2498295	0.6144196	0.9982062	0.5645709	0.1101535	0.0750894	0.3212863	0.1491681	0.8186552	0.5566304	0.2361202	0.4809056	0.9718261	0.8631406	0.9276898	0.8191774	0.9609947	0.8315915	0.9912007	0.8010462	0.6924483	0.9955112	0.3932007	0.5388840	0.3295870	0.3799629	0.9711690	0.8517999	0.6101702	0.1654888	0.7906447	0.0306135	0.1147866	0.0397558	0.1869645	0.8584225	0.9311453	0.1178528	0.7935146	0.0401283	0.0546629	0.2443172	0.5040415	0.9894950	0.9242074	0.7381625	0.0751444	0.5892532	0.0571733	0.5901823	0.9969225	0.9643867	0.1586907	0.4540078	0.9600186	0.0623107	0.9726057	0.0951654	0.4056287	0.3251446	0.2127443	0.5104051	0.0441071	0.1149808	0.2358105	0.9130749	0.0131404	0.2587346	0.6863823	0.5762455	0.6004836	0.9955757	0.3966637	0.1054317	0.9923819	0.4129036	0.0900284	0.8328351	0.0135107	0.4922433	0.9307008	0.7671470	0.0285602	0.9996988	0.3256964	0.3852780	0.1379425	0.8511131	0.3259452	0.8267330	0.6807323	0.8436470

0	1.0000000	0.3811597	0.2895186	0.4645330	0.9707221	1.0000000	1.0000000	0.7323843	0.2557068	0.6145198	0.9982059	0.5645709	0.1176264	0.0766376	0.3521445	0.1491681	0.8187420	0.5566161	0.2424309	0.4806108	0.9718068	0.8634355	0.9276802	0.8191776	0.9609931	0.8315361	0.9912011	0.8008911	0.6925838	0.9952165	0.3932015	0.5388828	0.3490953	0.3799666	0.9710319	0.8505126	0.6101572	0.1654919	0.7827478	0.0315810	0.1161598	0.0443860	0.1944546	0.9003505	0.9310916	0.0750019	0.7935142	0.0401291	0.0546629	0.2283654	0.5213361	0.9894948	0.9242067	0.7381625	0.0751455	0.5892526	0.0571774	0.5900898	0.9965726	0.9620487	0.1586915	0.4539991	0.9599926	0.0623107	0.9715848	0.0974978	0.4064741	0.3251476	0.2198507	0.5173816	0.0441071	0.1149810	0.2501542	0.9090582	0.0131411	0.2587404	0.6863798	0.6089129	0.6331575	0.9955759	0.3967289	0.1054384	0.9923818	0.4126616	0.0900310	0.8330098	0.0144217	0.4921613	0.9307032	0.7711253	0.0285602	0.9996988	0.3256964	0.3956462	0.1379662	0.8510954	0.3259452	0.8266980	0.6371181	0.8436371
1	1.0000000	0.3811597	0.2969717	0.4759346	0.9707220	0.9870603	1.0000000	0.7323843	0.2557068	0.6145043	0.9982060	0.5743004	0.1148173	0.0766458	0.3521448	0.1491681	0.8187246	0.5566191	0.2387918	0.4806119	0.9718108	0.8633758	0.9276822	0.8039909	0.9609934	0.8315475	0.9912010	0.8009157	0.6925567	0.9952217	0.3932017	0.5470757	0.3466564	0.3787341	0.9710676	0.8505133	0.6167157	0.1734768	0.7827473	0.0315808	0.1141014	0.0426537	0.1944546	0.9003482	0.9099718	0.0749982	0.7935140	0.0401289	0.0534230	0.2297494	0.5192883	0.9894949	0.9242068	0.7381625	0.0751453	0.5892527	0.0571765	0.5860131	0.9965756	0.9620488	0.1586914	0.4500898	0.9599980	0.0623107	0.9715838	0.0974978	0.4063031	0.3251469	0.2167565	0.5078434	0.0441071	0.1123651	0.2501541	0.9090802	0.0131410	0.2587392	0.6863803	0.6089141	0.6348428	0.9955759	0.3967170	0.1054370	0.9923818	0.4127101	0.0900304	0.8329722	0.0141498	0.4868207	0.9307027	0.7711254	0.0285602	0.9997097	0.3256964	0.3956459	0.1490913	0.8352964	0.3259469	0.8267048	0.6371181	0.8436392
2	1.0000000	0.3811597	0.3041644	0.4870547	0.9707215	0.9744705	1.0000000	0.7323843	0.2557068	0.6144889	0.9982060	0.5837057	0.1120922	0.0766522	0.3521458	0.1491681	0.8187105	0.5566220	0.2352136	0.4806130	0.9718147	0.8633218	0.9276842	0.7891284	0.9609937	0.8315588	0.9912009	0.8009389	0.6925351	0.9952265	0.3932037	0.5551116	0.3442751	0.3775229	0.9711018	0.8505140	0.6231404	0.1811821	0.7827467	0.0315807	0.1120972	0.0409906	0.1944546	0.9003459	0.8895527	0.0749946	0.7935122	0.0401288	0.0522167	0.2310812	0.5172817	0.9894949	0.9242070	0.7381625	0.0751451	0.5892529	0.0571757	0.5819963	0.9965785	0.9620489	0.1586912	0.4463045	0.9600033	0.0623107	0.9715829	0.0974978	0.4061533	0.3251463	0.2137121	0.4985245	0.0441071	0.1098141	0.2501541	0.9091018	0.0131408	0.2587380	0.6863808	0.6089153	0.6364785	0.9955758	0.3967143	0.1054356	0.9923818	0.4127494	0.0900299	0.8329350	0.0138848	0.4815858	0.9307022	0.7711254	0.0285602	0.9997200	0.3256964	0.3956456	0.1599657	0.8198181	0.3259582	0.8267092	0.6371181	0.8436412
