#Experiment	author	exp_info
21	S. Brokx	BW30270 MOPS glucose stationary anaerobic r2
22	A. Ito	MG1655 biofilm maturation r1
22	A. Ito	MG1655 biofilm maturation r2
22	A. Ito	MG1655 biofilm maturation r3
23	T. Allen	EMG2 MOPS acetate aerobic r1
23	T. Allen	EMG2 MOPS acetate aerobic r2
24	H. Kornberg	HK2698 t0
24	H. Kornberg	HK2698 t40
25	C. Reigstad	MG1655 t150m aerobic r1
25	C. Reigstad	MG1655 t150m aerobic r2
25	C. Reigstad	MG1655 t300m aerobic r1
25	C. Reigstad	MG1655 t300m aerobic r2
25	C. Reigstad	MG1655 t480m aerobic r1
25	C. Reigstad	MG1655 t480m aerobic r2
25	C. Reigstad	MG1655 t720m aerobic r1
25	C. Reigstad	MG1655 t720m aerobic r2
25	C. Reigstad	MG1655 t1080m aerobic r1
25	C. Reigstad	MG1655 t1080m aerobic r2
25	C. Reigstad	MG1655 t1560m aerobic r1
25	C. Reigstad	MG1655 t1560m aerobic r2
26	C. Reigstad	MG1655 t150m anaerobic r1
26	C. Reigstad	MG1655 t150m anaerobic r2
26	C. Reigstad	MG1655 t180m anaerobic r1
26	C. Reigstad	MG1655 t180m anaerobic r2
26	C. Reigstad	MG1655 t225m anaerobic r1
26	C. Reigstad	MG1655 t225m anaerobic r2
26	C. Reigstad	MG1655 t270m anaerobic r1
26	C. Reigstad	MG1655 t270m anaerobic r2
26	C. Reigstad	MG1655 t405m anaerobic r1
26	C. Reigstad	MG1655 t405m anaerobic r2
27	J. Domka	BW25113 wt LB biofilm 4h r1
27	J. Domka	BW25113 wt LB biofilm 7h r1
27	J. Domka	BW25113 wt LB biofilm 15h r1
27	J. Domka	BW25113 wt LB biofilm 24h r1
28	H. Kornberg	HK2699 t0
28	H. Kornberg	HK2699 t40
29	H. Kornberg	HK2700 t0
29	H. Kornberg	HK2700 t40
30	J. Domka	BW25113 wt LB suspension 4h r1
30	J. Domka	BW25113 wt LB suspension 7h r1
30	J. Domka	BW25113 wt LB suspension 15h r1
30	J. Domka	BW25113 wt LB suspension 24h r1
31	X. Yang	MG1655 wt M9C glucose t24h biofilm r1
31	X. Yang	MG1655 wt plus R1drd19 M9C glucose t24h biofilm r1
32	M. Koeris	EMG2 untreated OD1pt5
32	M. Koeris	EMG2 AI2 400uM OD1pt5
33	T. Allen	EMG2 MOPS acid shock ph2 t10min r1
33	T. Allen	EMG2 MOPS acid shock ph2 t10min r2
34	T. Allen	EMG2 MOPS ciprofloxacin 20ng t10min r1
34	T. Allen	EMG2 MOPS ciprofloxacin 20ng t10min r2
35	C. Herring	MG1655 MOPS pBAD r1
35	C. Herring	MG1655 MOPS pBAD r2
35	C. Herring	MG1655 MOPS pBAD r3
35	C. Herring	MG1655 MOPS pBAD arabinose amber supressor tRNA r1
35	C. Herring	MG1655 MOPS pBAD arabinose amber supressor tRNA r2
35	C. Herring	MG1655 MOPS pBAD arabinose amber supressor tRNA r3
36	L. Maurer	EMG2 HOMOPIPES pH5 r1
36	L. Maurer	EMG2 HOMOPIPES pH5 r2
36	L. Maurer	EMG2 HOMOPIPES pH5 r3
36	L. Maurer	EMG2 HOMOPIPES pH5 r4
36	L. Maurer	EMG2 HOMOPIPES pH5 r5
36	L. Maurer	EMG2 HOMOPIPES pH7 r1
36	L. Maurer	EMG2 HOMOPIPES pH7 r2
36	L. Maurer	EMG2 HOMOPIPES pH7 r3
36	L. Maurer	EMG2 HOMOPIPES pH7 r4
36	L. Maurer	EMG2 HOMOPIPES pH7 r5
36	L. Maurer	EMG2 HOMOPIPES pH8pt7 r1
36	L. Maurer	EMG2 HOMOPIPES pH8pt7 r2
36	L. Maurer	EMG2 HOMOPIPES pH8pt7 r3
36	L. Maurer	EMG2 HOMOPIPES pH8pt7 r4
36	L. Maurer	EMG2 HOMOPIPES pH8pt7 r5
37	M. Koeris	EMG2 untreated OD1pt2
37	M. Koeris	EMG2 AI2 400uM OD1pt2
38	E. Hayes	W3110 LB ph5 7 anaerobic r1
38	E. Hayes	W3110 LB ph5 7 anaerobic r2
38	E. Hayes	W3110 LB ph5 7 anaerobic r3
38	E. Hayes	W3110 LB ph5 7 anaerobic r4
38	E. Hayes	W3110 LB ph5 7 anaerobic r5
38	E. Hayes	W3110 LB ph7 anaerobic r1
38	E. Hayes	W3110 LB ph7 anaerobic r2
38	E. Hayes	W3110 LB ph7 anaerobic r3
38	E. Hayes	W3110 LB ph7 anaerobic r4
38	E. Hayes	W3110 LB ph7 anaerobic r5
38	E. Hayes	W3110 LB ph8 5 anaerobic r1
38	E. Hayes	W3110 LB ph8 5 anaerobic r2
38	E. Hayes	W3110 LB ph8 5 anaerobic r3
38	E. Hayes	W3110 LB ph8 5 anaerobic r4
38	E. Hayes	W3110 LB ph8 5 anaerobic r5
39	E. Zoetendal	BW13711 no tannin r1
39	E. Zoetendal	BW13711 no tannin r2
39	E. Zoetendal	BW13711 tannin 1percent r1
39	E. Zoetendal	BW13711 tannin 1percent r2
40	M. Koeris	EMG2 untreated OD1pt8
40	M. Koeris	EMG2 AI2 400uM OD1pt7
41	X. Yang	ATCC25404 wt LB t24h biofilm r1
41	X. Yang	ATCC25404 wt plus R1drd9 LB t24h biofilm r1
42	M. Koeris	EMG2 untreated OD0pt5
42	M. Koeris	EMG2 AI2 400uM OD0pt5
43	D. Dwyer	MG1063 uninduced t0 r1
43	D. Dwyer	MG1063 uninduced t30 r1
43	D. Dwyer	MG1063 uninduced t60 r1
43	D. Dwyer	MG1063 uninduced t120 r1
43	D. Dwyer	MG1063 norfloxacin 250ng t0 r1
43	D. Dwyer	MG1063 norfloxacin 250ng t30 r1
43	D. Dwyer	MG1063 norfloxacin 250ng t60 r1
43	D. Dwyer	MG1063 norfloxacin 250ng t120 r1
43	D. Dwyer	MG1063 norfloxacin 250ng chelator t0 r1
43	D. Dwyer	MG1063 norfloxacin 250ng chelator t30 r1
43	D. Dwyer	MG1063 norfloxacin 250ng chelator t60 r1
43	D. Dwyer	MG1063 norfloxacin 250ng chelator t120 r1
43	D. Dwyer	MG1063 U ccdB chelator t0 r1
43	D. Dwyer	MG1063 U ccdB chelator t30 r1
43	D. Dwyer	MG1063 U ccdB chelator t60 r1
43	D. Dwyer	MG1063 U ccdB chelator t120 r1
44	D. Dwyer	MG1655 baseline t0 r1
44	D. Dwyer	MG1655 untreated t30 r1
44	D. Dwyer	MG1655 untreated t60 r1
44	D. Dwyer	MG1655 untreated t120 r1
44	D. Dwyer	MG1655 gent t30 r1
44	D. Dwyer	MG1655 gent t60 r1
44	D. Dwyer	MG1655 gent t120 r1
44	D. Dwyer	MG1655 spec t30 r1
44	D. Dwyer	MG1655 spec t60 r1
44	D. Dwyer	MG1655 spec t120 r1
45	K. Anderson	MG1655 untreated t0 r1
45	K. Anderson	MG1655 amp 1ug t30 r1
45	K. Anderson	MG1655 amp 1ug t60 r1
45	K. Anderson	MG1655 amp 1ug t120 r1
45	K. Anderson	MG1655 amp 2pt5ug t30 r1
45	K. Anderson	MG1655 amp 2pt5ug t60 r1
45	K. Anderson	MG1655 amp 2pt5ug t120 r1
46	G. Kannan	W3110 LB acid shift t0 r1
46	G. Kannan	W3110 LB acid shift t0 r2
46	G. Kannan	W3110 LB acid shift t0 r3
46	G. Kannan	W3110 LB acid shift t0 r4
46	G. Kannan	W3110 LB acid shift t0 r5
46	G. Kannan	W3110 LB acid shift t1min r1
46	G. Kannan	W3110 LB acid shift t1min r2
46	G. Kannan	W3110 LB acid shift t1min r3
46	G. Kannan	W3110 LB acid shift t1min r4
46	G. Kannan	W3110 LB acid shift t1min r5
46	G. Kannan	W3110 LB acid shift t5min r1
46	G. Kannan	W3110 LB acid shift t5min r2
46	G. Kannan	W3110 LB acid shift t5min r3
46	G. Kannan	W3110 LB acid shift t5min r4
46	G. Kannan	W3110 LB acid shift t5min r5
46	G. Kannan	W3110 LB acid shift t10min r1
46	G. Kannan	W3110 LB acid shift t10min r2
46	G. Kannan	W3110 LB acid shift t10min r3
46	G. Kannan	W3110 LB acid shift t10min r4
46	G. Kannan	W3110 LB acid shift t10min r5
47	I. Keren	EMG2 LB 0pt02percent glucose 150min post incubation r1
47	I. Keren	EMG2 LB 0pt02percent glucose 180min post incubation r1
47	I. Keren	EMG2 LB 0pt02percent glucose 210min post incubation r1
47	I. Keren	EMG2 LB 0pt02percent glucose 240min post incubation r1
47	I. Keren	EMG2 LB 0pt02percent glucose 270min post incubation r1
47	I. Keren	EMG2 LB 0pt02percent glucose 300min post incubation r1
47	I. Keren	EMG2 LB 0pt02percent glucose 330min post incubation r1
47	I. Keren	EMG2 LB 0pt02percent glucose 360min post incubation r1
47	I. Keren	EMG2 LB 0pt02percent glucose 480min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 150min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 180min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 210min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 240min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 270min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 300min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 330min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 360min post incubation r1
47	I. Keren	EMG2 LB 0pt04percent glucose 480min post incubation r1
48	D. Dwyer	MG1655 untreated 30min r1
48	D. Dwyer	MG1655 untreated 60min r1
48	D. Dwyer	MG1655 DMSO 30min r1
48	D. Dwyer	MG1655 DMSO 60min r1
48	D. Dwyer	MG1655 ciprofloxacin 25ng 30min r1
48	D. Dwyer	MG1655 ciprofloxacin 25ng 60min r1
48	D. Dwyer	MG1655 ciprofloxacin 25ng A1 50uM inoculation 30min r1
48	D. Dwyer	MG1655 ciprofloxacin 25ng A1 50uM inoculation 60min r1
48	D. Dwyer	MG1655 ciprofloxacin 25ng A1 50uM simultaneous 30min r1
48	D. Dwyer	MG1655 ciprofloxacin 25ng A1 50uM simultaneous 60min r1
48	D. Dwyer	MG1655 A1 50uM inoculation 0min r1
48	D. Dwyer	MG1655 A1 50uM inoculation 30min r1
48	D. Dwyer	MG1655 A1 50uM inoculation 60min r1
49	D. Dwyer	MG1655 wt untreated t0
49	D. Dwyer	MG1655 wt untreated t30
49	D. Dwyer	MG1655 wt untreated t60
49	D. Dwyer	MG1655 wt untreated t90
49	D. Dwyer	MG1655 wt untreated t120
49	D. Dwyer	MG1655 wt MMC 2pt5ug t30
49	D. Dwyer	MG1655 wt MMC 2pt5ug t60
49	D. Dwyer	MG1655 wt MMC 2pt5ug t90
49	D. Dwyer	MG1655 wt MMC 2pt5ug t120
49	D. Dwyer	MG1655 wt UV 500en t30
49	D. Dwyer	MG1655 wt UV 500en t60
49	D. Dwyer	MG1655 wt UV 500en t90
49	D. Dwyer	MG1655 wt UV 500en t120
50	J. Faith	EMG2 LB untreated t24min r1
50	J. Faith	EMG2 LB untreated t24min r2
50	J. Faith	EMG2 LB untreated t24min r3
50	J. Faith	EMG2 LB untreated t60min r1
50	J. Faith	EMG2 LB untreated t60min r2
50	J. Faith	EMG2 LB untreated t60min r3
50	J. Faith	EMG2 LB norf 25ng t0min r1
50	J. Faith	EMG2 LB norf 25ng t0min r2
50	J. Faith	EMG2 LB norf 25ng t0min r3
50	J. Faith	EMG2 LB norf 25ng t12min r1
50	J. Faith	EMG2 LB norf 25ng t12min r2
50	J. Faith	EMG2 LB norf 25ng t12min r3
50	J. Faith	EMG2 LB norf 25ng t24min r1
50	J. Faith	EMG2 LB norf 25ng t24min r2
50	J. Faith	EMG2 LB norf 25ng t24min r3
50	J. Faith	EMG2 LB norf 25 ng t36min r1
50	J. Faith	EMG2 LB norf 25 ng t36min r2
50	J. Faith	EMG2 LB norf 25 ng t36min r3
50	J. Faith	EMG2 LB norf 25 ng t48min r1
50	J. Faith	EMG2 LB norf 25 ng t48min r2
50	J. Faith	EMG2 LB norf 25 ng t48min r3
50	J. Faith	EMG2 LB norf 25 ng t60min r1
50	J. Faith	EMG2 LB norf 25 ng t60min r2
50	J. Faith	EMG2 LB norf 25 ng t60min r3
51	J. Winkler	MG1655 untreated t0
51	J. Winkler	MG1655 tetracycline 10 t30
51	J. Winkler	MG1655 tetracycline 10 t60
51	J. Winkler	MG1655 tetracycline 10 t120
51	J. Winkler	MG1655 tetracycline 128 t30
51	J. Winkler	MG1655 tetracycline 128 t60
51	J. Winkler	MG1655 tetracycline 128 t120
52	X. Zhang	BW25113 wt LB t15h biofilm r1
52	X. Yang	BW25113 wt LB t15h biofilm r1
70	X. Zhang	BW25113 wt LB t15h biofilm r1
70	X. Yang	BW25113 wt LB t15h biofilm r1
52	X. Yang	BW25113 wt LB t24h biofilm r1
52	X. Yang	BW25113 wt plus R1drd19 LB t7h biofilm r1
52	X. Yang	BW25113 wt plus R1drd19 LB t15h biofilm r1
52	X. Yang	BW25113 wt plus R1drd19 LB t24h biofilm r1
53	F. Haddadin	MG1655 late log LB glucose magnesiumsulfate r1
53	S. Harcum	MG1655 WT t=0 noIPTG r1
58	F. Haddadin	MG1655 late log LB glucose magnesiumsulfate r1
58	S. Harcum	MG1655 WT t=0 noIPTG r1
53	F. Haddadin	MG1655 late log LB glucose magnesiumsulfate r2
53	S. Harcum	MG1655 WT t=0 noIPTG r2
58	F. Haddadin	MG1655 late log LB glucose magnesiumsulfate r2
58	S. Harcum	MG1655 WT t=0 noIPTG r2
53	F. Haddadin	MG1655 late log LB glucose magnesiumsulfate r3
53	S. Harcum	MG1655 WT t=0 noIPTG r3
58	F. Haddadin	MG1655 late log LB glucose magnesiumsulfate r3
58	S. Harcum	MG1655 WT t=0 noIPTG r3
53	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate r1
53	S. Harcum	MG1655 WT t=1 noIPTG r1
58	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate r1
58	S. Harcum	MG1655 WT t=1 noIPTG r1
53	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate r2
53	S. Harcum	MG1655 WT t=1 noIPTG r2
58	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate r2
58	S. Harcum	MG1655 WT t=1 noIPTG r2
53	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate r3
53	S. Harcum	MG1655 WT t=1 noIPTG r3
58	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate r3
58	S. Harcum	MG1655 WT t=1 noIPTG r3
53	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate r1
53	S. Harcum	MG1655 WT t=4 noIPTG r1
58	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate r1
58	S. Harcum	MG1655 WT t=4 noIPTG r1
53	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate r2
53	S. Harcum	MG1655 WT t=4 noIPTG r2
58	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate r2
58	S. Harcum	MG1655 WT t=4 noIPTG r2
53	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate r3
53	S. Harcum	MG1655 WT t=4 noIPTG r3
58	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate r3
58	S. Harcum	MG1655 WT t=4 noIPTG r3
53	F. Haddadin	MG1655 pPROExCat late log LB glucose magnesiumsulfate r2
53	S. Harcum	MG1655 pPROEx-CAT t=0 noIPTG r1
58	F. Haddadin	MG1655 pPROExCat late log LB glucose magnesiumsulfate r2
58	S. Harcum	MG1655 pPROEx-CAT t=0 noIPTG r1
53	F. Haddadin	MG1655 pPROExCat late log LB glucose magnesiumsulfate r4
53	S. Harcum	MG1655 pPROEx-CAT t=0 noIPTG r2
58	F. Haddadin	MG1655 pPROExCat late log LB glucose magnesiumsulfate r4
58	S. Harcum	MG1655 pPROEx-CAT t=0 noIPTG r2
53	F. Haddadin	MG1655 pPROExCat late log LB glucose magnesiumsulfate r5
53	S. Harcum	MG1655 pPROEx-CAT t=0 noIPTG r3
58	F. Haddadin	MG1655 pPROExCat late log LB glucose magnesiumsulfate r5
58	S. Harcum	MG1655 pPROEx-CAT t=0 noIPTG r3
53	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate r1
53	S. Harcum	MG1655 pPROEx-CAT t=1 noIPTG r1
58	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate r1
58	S. Harcum	MG1655 pPROEx-CAT t=1 noIPTG r1
53	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate r2
53	S. Harcum	MG1655 pPROEx-CAT t=1 noIPTG r2
58	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate r2
58	S. Harcum	MG1655 pPROEx-CAT t=1 noIPTG r2
53	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate r3
53	S. Harcum	MG1655 pPROEx-CAT t=1 noIPTG r3
58	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate r3
58	S. Harcum	MG1655 pPROEx-CAT t=1 noIPTG r3
53	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate r1
53	S. Harcum	MG1655 pPROEx-CAT t=4 noIPTG r1
58	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate r1
58	S. Harcum	MG1655 pPROEx-CAT t=4 noIPTG r1
53	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate r2
53	S. Harcum	MG1655 pPROEx-CAT t=4 noIPTG r2
58	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate r2
58	S. Harcum	MG1655 pPROEx-CAT t=4 noIPTG r2
53	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate r3
53	S. Harcum	MG1655 pPROEx-CAT t=4 noIPTG r3
58	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate r3
58	S. Harcum	MG1655 pPROEx-CAT t=4 noIPTG r3
53	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate IPTG r1
53	S. Harcum	MG1655 WT t=1 IPTG r1
58	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate IPTG r1
58	S. Harcum	MG1655 WT t=1 IPTG r1
53	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate IPTG r2
53	S. Harcum	MG1655 WT t=1 IPTG r2
58	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate IPTG r2
58	S. Harcum	MG1655 WT t=1 IPTG r2
53	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate IPTG r3
53	S. Harcum	MG1655 WT t=1 IPTG r3
58	F. Haddadin	MG1655 late log 1h post incubation LB glucose magnesiumsulfate IPTG r3
58	S. Harcum	MG1655 WT t=1 IPTG r3
53	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate IPTG r1
53	S. Harcum	MG1655 WT t=4 IPTG r1
58	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate IPTG r1
58	S. Harcum	MG1655 WT t=4 IPTG r1
53	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate IPTG r2
53	S. Harcum	MG1655 WT t=4 IPTG r2
58	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate IPTG r2
58	S. Harcum	MG1655 WT t=4 IPTG r2
53	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate IPTG r3
53	S. Harcum	MG1655 WT t=4 IPTG r3
58	F. Haddadin	MG1655 late log 4h post incubation LB glucose magnesiumsulfate IPTG r3
58	S. Harcum	MG1655 WT t=4 IPTG r3
53	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate IPTG r1
53	S. Harcum	MG1655 pPROEx-CAT t=1 IPTG r1
58	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate IPTG r1
58	S. Harcum	MG1655 pPROEx-CAT t=1 IPTG r1
53	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate IPTG r2
53	S. Harcum	MG1655 pPROEx-CAT t=1 IPTG r2
58	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate IPTG r2
58	S. Harcum	MG1655 pPROEx-CAT t=1 IPTG r2
53	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate IPTG r3
53	S. Harcum	MG1655 pPROEx-CAT t=1 IPTG r3
58	F. Haddadin	MG1655 pPROExCat late log 1h post incubation LB glucose magnesiumsulfate IPTG r3
58	S. Harcum	MG1655 pPROEx-CAT t=1 IPTG r3
53	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate IPTG r1
53	S. Harcum	MG1655 pPROEx-CAT t=4 IPTG r1
58	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate IPTG r1
58	S. Harcum	MG1655 pPROEx-CAT t=4 IPTG r1
53	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate IPTG r2
53	S. Harcum	MG1655 pPROEx-CAT t=4 IPTG r2
58	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate IPTG r2
58	S. Harcum	MG1655 pPROEx-CAT t=4 IPTG r2
53	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate IPTG r3
53	S. Harcum	MG1655 pPROEx-CAT t=4 IPTG r3
58	F. Haddadin	MG1655 pPROExCat late log 4h post incubation LB glucose magnesiumsulfate IPTG r3
58	S. Harcum	MG1655 pPROEx-CAT t=4 IPTG r3
54	K. Allison	MG1655 untreated t0
54	K. Allison	MG1655 gent t30
54	K. Allison	MG1655 gent t60
54	K. Allison	MG1655 gluconate t30
54	K. Allison	MG1655 gluconate t60
54	K. Allison	MG1655 mannitol t30
54	K. Allison	MG1655 mannitol t60
54	K. Allison	MG1655 gluconate gent t30
54	K. Allison	MG1655 gluconate gent t60
54	K. Allison	MG1655 mannitol gent t30
54	K. Allison	MG1655 mannitol gent t60
55	M. Koeris	EMG2 untreated H3 F5 r1
55	M. Koeris	EMG2 J6001 H3 320ug 6h r1
55	M. Koeris	EMG2 J6001 H3 320ug 7h r1
55	M. Koeris	EMG2 J6001 H3 320ug 8h r1
55	M. Koeris	EMG2 F5 20ug 0h r1
55	M. Koeris	EMG2 F5 20ug 1h r1
55	M. Koeris	EMG2 F5 20ug 2h r1
55	M. Koeris	EMG2 F5 20ug 3h r1
55	M. Koeris	EMG2 J6026 F5 20ug 6h r1
55	M. Koeris	EMG2 J6026 F5 20ug 7h r1
55	M. Koeris	EMG2 J6026 F5 20ug 8h r1
56	H. Lee	MG1655 t0 r1
56	H. Lee	MG1655 amp t30 r1
56	H. Lee	MG1655 amp t60 r1
56	H. Lee	MG1655 gent t30
56	H. Lee	MG1655 gent t60 r1
56	H. Lee	MG1655 amp gent t30 r1
56	H. Lee	MG1655 amp gent t60 r1
57	M. Laubacher	MG1655 untreated -5min r1
57	M. Laubacher	MG1655 untreated -5min r2
57	M. Laubacher	MG1655 untreated -5min r3
57	M. Laubacher	MG1655 untreated 5min r1
57	M. Laubacher	MG1655 untreated 5min r2
57	M. Laubacher	MG1655 untreated 20min r1
57	M. Laubacher	MG1655 untreated 20min r2
57	M. Laubacher	MG1655 untreated 20min r3
57	M. Laubacher	MG1655 untreated 40min r1
57	M. Laubacher	MG1655 untreated 40min r2
57	M. Laubacher	MG1655 untreated 40min r3
57	M. Laubacher	MG1655 untreated 40min r4
57	M. Laubacher	MG1655 mecillinam 30ng -5min r1
57	M. Laubacher	MG1655 mecillinam 30ng -5min r2
57	M. Laubacher	MG1655 mecillinam 30ng 5min r1
57	M. Laubacher	MG1655 mecillinam 30ng 5min r2
57	M. Laubacher	MG1655 mecillinam 30ng 20min r1
57	M. Laubacher	MG1655 mecillinam 30ng 20min r2
57	M. Laubacher	MG1655 mecillinam 30ng 40min r1
57	M. Laubacher	MG1655 mecillinam 30ng 40min r2
57	M. Laubacher	MG1655 mecillinam 30ng 40min r3
57	M. Laubacher	MG1655 cefsulodin 10ug -5min r1
57	M. Laubacher	MG1655 cefsulodin 10ug -5min r2
57	M. Laubacher	MG1655 cefsulodin 10ug 5min r1
57	M. Laubacher	MG1655 cefsulodin 10ug 5min r2
57	M. Laubacher	MG1655 cefsulodin 10ug 20min r1
57	M. Laubacher	MG1655 cefsulodin 10ug 20min r2
57	M. Laubacher	MG1655 cefsulodin 10ug 40min r1
57	M. Laubacher	MG1655 cefsulodin 10ug 40min r2
57	M. Laubacher	MG1655 cefsulodin 10ug 40min r3
57	M. Laubacher	MG1655 cefsulodin plus mecillinam -5min r1
57	M. Laubacher	MG1655 cefsulodin plus mecillinam -5min r2
57	M. Laubacher	MG1655 cefsulodin plus mecillinam -5min r3
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 5min r1
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 5min r2
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 5min r3
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 20min r1
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 20min r2
